Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,91,Joy Ride,https://www.boxofficemojo.com/release/rl2732688129/?ref_=bo_yld_table_91,,,"$12,897,789","2,820"
2023,92,His Only Son,https://www.boxofficemojo.com/release/rl528515841/?ref_=bo_yld_table_92,,,"$12,392,740","1,930"
2023,93,The Whale,https://www.boxofficemojo.com/release/rl4040786689/?ref_=bo_yld_table_93,,,"$12,129,434","1,721"
2023,94,About My Father,https://www.boxofficemojo.com/release/rl2950791937/?ref_=bo_yld_table_94,,,"$12,089,391","2,464"
2023,95,Bottoms,https://www.boxofficemojo.com/release/rl93946625/?ref_=bo_yld_table_95,,,"$12,036,071","1,265"
2023,96,The Shift,https://www.boxofficemojo.com/release/rl2219016193/?ref_=bo_yld_table_96,,,"$11,925,234","2,450"
2023,97,After Death,https://www.boxofficemojo.com/release/rl1236108033/?ref_=bo_yld_table_97,,,"$11,477,621","2,730"
2023,98,Saltburn,https://www.boxofficemojo.com/release/rl104955905/?ref_=bo_yld_table_98,,,"$11,256,512","1,566"
2023,99,Past Lives,https://www.boxofficemojo.com/release/rl3498410753/?ref_=bo_yld_table_99,,,"$11,031,696",906
2023,100,Suzume,https://www.boxofficemojo.com/release/rl2163311361/?ref_=bo_yld_table_100,,,"$10,932,037","2,170"
2023,101,Ferrari,https://www.boxofficemojo.com/release/rl390496257/?ref_=bo_yld_table_101,,,"$10,778,480","2,386"
2023,102,The Machine,https://www.boxofficemojo.com/release/rl3287778049/?ref_=bo_yld_table_102,,,"$10,458,331","2,409"
2023,103,Whitney Houston: I Wanna Dance with Somebody,https://www.boxofficemojo.com/release/rl101810945/?ref_=bo_yld_table_103,,,"$10,451,167","3,625"
2023,104,Poor Things,https://www.boxofficemojo.com/release/rl3566306049/?ref_=bo_yld_table_104,,,"$10,269,036","2,300"
2023,105,"The Nightmare Before Christmas
30th Anniversary Re-Release",https://www.boxofficemojo.com/release/rl2880799489/?ref_=bo_yld_table_105,,,"$10,251,956","2,185"
2023,106,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,https://www.boxofficemojo.com/release/rl3313664769/?ref_=bo_yld_table_106,,,"$10,117,806","1,774"
2023,107,House Party,https://www.boxofficemojo.com/release/rl1456964353/?ref_=bo_yld_table_107,,,"$9,002,247","1,400"
2023,108,Radical,https://www.boxofficemojo.com/release/rl1335788289/?ref_=bo_yld_table_108,,,"$8,636,299",534
2023,109,Salaar,https://www.boxofficemojo.com/release/rl2487451649/?ref_=bo_yld_table_109,,,"$8,268,997",802
2023,110,Silent Night,https://www.boxofficemojo.com/release/rl1018987265/?ref_=bo_yld_table_110,,,"$7,996,185","1,873"
2023,111,Beau Is Afraid,https://www.boxofficemojo.com/release/rl1022984961/?ref_=bo_yld_table_111,,,"$7,740,323","2,125"
2023,112,The Hill,https://www.boxofficemojo.com/release/rl1476166401/?ref_=bo_yld_table_112,,,"$7,665,865","1,703"
2023,113,Sisu,https://www.boxofficemojo.com/release/rl2306900737/?ref_=bo_yld_table_113,,,"$7,265,622","1,006"
